Var1,Var2_1,Var2_2,Var2_3
0,0,0,0
0.01,0,0,0
0.02,0,0,0
0.03,0,0,0
0.04,0,0,0
0.05,0,0,0
0.06,0,0,0
0.07,0,0,0
0.08,0,0,0
0.09,0,0,0
0.1,0,0,0
0.11,0,0,0
0.12,0,0,0
0.13,0,0,0
0.14,0,0,0
0.15,0,0,0
0.16,0,0,0
0.17,0,0,0
0.18,0,0,0
0.19,0,0,0
0.2,0,0,0
0.21,0,0,0
0.22,0,0,0
0.23,0,0,0
0.24,0,0,0
0.25,0,0,0
0.26,0,0,0
0.27,0,0,0
0.28,0,0,0
0.29,0,0,0
0.3,0,0,0
0.31,0,0,0
0.32,0,0,0
0.33,0,0,0
0.34,0,0,0
0.35,0,0,0
0.36,0,0,0
0.37,0,0,0
0.38,0,0,0
0.39,0,0,0
0.4,0,0,0
0.41,0,0,0
0.42,0,0,0
0.43,0,0,0
0.44,0,0,0
0.45,0,0,0
0.46,0,0,0
0.47,0,0,0
0.48,0,0,0
0.49,0,0,0
0.5,0,0,0
0.51,0,0,0
0.52,0,0,0
0.53,0,0,0
0.54,0,0,0
0.55,0,0,0
0.56,0,0,0
0.57,0,0,0
0.58,0,0,0
0.59,0,0,0
0.6,0,0,0
0.61,0,0,0
0.62,0,0,0
0.63,0,0,0
0.64,0,0,0
0.65,0,0,0
0.66,0,0,0
0.67,0,0,0
0.68,0,0,0
0.69,0,0,0
0.7,0,0,0
0.71,0,0,0
0.72,0,0,0
0.73,0,0,0
0.74,0,0,0
0.75,0,0,0
0.76,0,0,0
0.77,0,0,0
0.78,0,0,0
0.79,0,0,0
0.8,0,0,0
0.81,0,0,0
0.82,0,0,0
0.83,0,0,0
0.84,0,0,0
0.85,0,0,0
0.86,0,0,0
0.87,0,0,0
0.88,0,0,0
0.89,0,0,0
0.9,0,0,0
0.91,0,0,0
0.92,0,0,0
0.93,0,0,0
0.94,0,0,0
0.95,0,0,0
0.96,0,0,0
0.97,0,0,0
0.98,0,0,0
0.99,0,0,0
0.999999999999993,0,0,0
1,1,0,0
1.00000000000001,1,4.65355256710554e-15,4.91127138957346e-15
1.01,1,0.00311623815092282,0.0032888188224
1.02,1,0.0124835823051855,0.0128314864705799
1.03,1,0.0280795379740263,0.0279906701107017
1.04,1,0.049697349427373,0.0481506476675349
1.05,1,0.0768496873978972,0.0727193723594464
1.06,1,0.108746677991513,0.101130191829289
1.07,1,0.144354062610418,0.132843242296947
1.08,1,0.182517582268215,0.16734653842028
1.09,1,0.222123393011425,0.204156779652193
1.1,1,0.262255429825781,0.242819893836444
1.11,1,0.302311320807843,0.282911338607505
1.12,1,0.342048543915056,0.32403618086342
1.13,1,0.381549544685458,0.365828974178182
1.14,1,0.421114326268196,0.407953453524032
1.15,1,0.461106736805145,0.450102066096097
1.16,1,0.501791976582936,0.491995356383345
1.17,1,0.543204962286765,0.533381222921562
1.18,1,0.585081600159037,0.574034063406225
1.19,1,0.626869590918591,0.613753824045196
1.2,1,0.66781589428372,0.652364968202111
1.21,1,0.707109192725906,0.689715378529414
1.22,1,0.744042212468283,0.725675205922957
1.23,1,0.778153885295627,0.760135677755048
1.24,1,0.809316260686981,0.793007876966179
1.25,1,0.837744597865734,0.824221502723461
1.26,1,0.86392787118898,0.853723622491241
1.27,1,0.888496405829774,0.88147742451132
1.28,1,0.912058753492016,0.907460978860873
1.29,1,0.935047451049434,0.931666014449321
1.3,1,0.957611133946541,0.954096718534256
1.31,1,0.979579132303911,0.974768564583851
1.32,1,1.00050693813417,0.993707173591358
1.33,1,1.01979113998358,1.01094721325819
1.34,1,1.03682542229699,1.02653133880721
1.35,1,1.05115918265672,1.0405091785685
1.36,1,1.06261968977931,1.05293636689657
1.37,1,1.07136764293866,1.06387362643169
1.38,1,1.07787231090962,1.07338590120839
1.39,1,1.08281213039493,1.08154154164176
1.4,1,1.08692490639382,1.08841154198619
1.41,1,1.09084410869239,1.09406883046143
1.42,1,1.09496117537668,1.09858761187651
1.43,1,1.09934737936918,1.10204276225233
1.44,1,1.10375424329188,1.10450927464756
1.45,1,1.10769226880688,1.10606175512879
1.46,1,1.11056858443577,1.10677396759325
1.47,1,1.11184970221822,1.10671842594993
1.48,1,1.11120943735173,1.10596603199046
1.49,1,1.10862568847762,1.10458575713409
1.5,1,1.10440230744575,1.10264436610931
1.51,1,1.09911063810674,1.10020618053657
1.52,1,1.09346498102664,1.09733288030158
1.53,1,1.08816242727641,1.09408334055341
1.54,1,1.08372623664411,1.09051350212684
1.55,1,1.08039107579643,1.08667627317031
1.56,1,1.07805819058872,1.0826214597596
1.57,1,1.07633147132198,1.07839572329058
1.58,1,1.07462557072259,1.07404256247105
1.59,1,1.07231959927235,1.06960231777005
1.6,1,1.06891876895198,1.06511219623215
1.61,1,1.06418441527355,1.06060631462249
1.62,1,1.05820057395069,1.05611575893467
1.63,1,1.05136082609906,1.05166865836671
1.64,1,1.04427865035761,1.04729027194936
1.65,1,1.03764325151595,1.04300308609434
1.66,1,1.03205618709265,1.0388269214179
1.67,1,1.02788881685548,1.03477904728459
1.68,1,1.02519550393591,1.03087430260876
1.69,1,1.02370384774967,1.02712522154415
1.7,1,1.0228843700303,1.0235421627858
1.71,1,1.02208262325261,1.02013344130189
1.72,1,1.0206814081258,1.01690546140577
1.73,1,1.01825341540634,1.01386285016974
1.74,1,1.01466695182387,1.0110085902717
1.75,1,1.01011889642408,1.00834415145285
1.76,1,1.00508684983406,1.00586961984943
1.77,1,1.00021222283952,1.00358382454322
1.78,1,0.996142918465615,1.00148446075366
