Time,Vref_1,V7,D_1,portadora,Vout
2e-005,1,0.00586776,0.0598734,1,0.0120206
2.02e-005,1,0.00586539,0.0615167,0.05,0.0124228
2.04e-005,1,0.00826292,0.0250637,0.1,0.0128901
2.06e-005,1,0.00858007,0.0217111,0.15,0.0133431
2.08e-005,1,0.00857743,0.0234341,0.2,0.0137944
2.1e-005,1,0.00857471,0.0251566,0.25,0.0142432
2.12e-005,1,0.00857191,0.0268787,0.3,0.0146895
2.14e-005,1,0.00856902,0.0286004,0.35,0.0151335
2.16e-005,1,0.00856603,0.0303216,0.4,0.015575
2.18e-005,1,0.00856296,0.0320424,0.45,0.0160141
2.2e-005,1,0.0085598,0.0337628,0.5,0.0164508
2.22e-005,1,0.00855656,0.0354827,0.55,0.0168851
2.24e-005,1,0.00855322,0.0372022,0.6,0.017317
2.26e-005,1,0.0085498,0.0389213,0.65,0.0177465
2.28e-005,1,0.0085463,0.0406399,0.7,0.0181736
2.3e-005,1,0.0085427,0.0423581,0.75,0.0185984
2.32e-005,1,0.00853903,0.0440758,0.8,0.0190208
2.34e-005,1,0.00853527,0.0457931,0.85,0.0194409
2.36e-005,1,0.00853142,0.04751,0.9,0.0198585
2.38e-005,1,0.00852749,0.0492265,0.95,0.0202739
2.4e-005,1,0.00852348,0.0509424,1,0.0206869
2.42e-005,1,0.00851938,0.052658,0.05,0.0212057
2.44e-005,1,0.0109152,0.0162771,0.1,0.0217655
2.46e-005,1,0.0109847,0.0168929,0.15,0.022319
2.48e-005,1,0.0109803,0.0186804,0.2,0.0228702
2.5e-005,1,0.0109757,0.0204673,0.25,0.0234184
2.52e-005,1,0.0109711,0.0222537,0.3,0.0239635
2.54e-005,1,0.0109664,0.0240394,0.35,0.0245056
2.56e-005,1,0.0109615,0.0258247,0.4,0.0250446
2.58e-005,1,0.0109566,0.0276093,0.45,0.0255807
2.6e-005,1,0.0109515,0.0293934,0.5,0.0261137
2.62e-005,1,0.0109463,0.0311769,0.55,0.0266437
2.64e-005,1,0.0109411,0.0329599,0.6,0.0271708
2.66e-005,1,0.0109357,0.0347422,0.65,0.0276948
2.68e-005,1,0.0109302,0.0365241,0.7,0.0282159
2.7e-005,1,0.0109246,0.0383053,0.75,0.028734
2.72e-005,1,0.0109189,0.040086,0.8,0.0292491
2.74e-005,1,0.0109131,0.0418661,0.85,0.0297614
2.76e-005,1,0.0109072,0.0436456,0.9,0.0302706
2.78e-005,1,0.0109012,0.0454246,0.95,0.030777
2.8e-005,1,0.0108951,0.047203,1,0.0312804
2.82e-005,1,0.0108889,0.0489808,0.05,0.0317809
2.84e-005,1,0.0108826,0.050758,0.1,0.0322784
2.86e-005,1,0.0108762,0.0525347,0.15,0.0327731
2.88e-005,1,0.0108697,0.0543107,0.2,0.0332649
2.9e-005,1,0.0108631,0.0560862,0.25,0.0337539
2.92e-005,1,0.0108564,0.0578612,0.3,0.0342399
2.94e-005,1,0.0108496,0.0596355,0.35,0.0347231
2.96e-005,1,0.0108427,0.0614093,0.4,0.0352035
2.98e-005,1,0.0108357,0.0631825,0.45,0.0356809
3e-005,1,0.0108286,0.0649551,0.5,0.0361556
3.02e-005,1,0.0108214,0.0667271,0.55,0.0366274
3.04e-005,1,0.0108141,0.0684986,0.6,0.0370964
3.06e-005,1,0.0108068,0.0702694,0.65,0.0375626
3.08e-005,1,0.0107993,0.0720397,0.7,0.038026
3.1e-005,1,0.0107917,0.0738094,0.75,0.0384866
3.12e-005,1,0.0107841,0.0755785,0.8,0.0389444
3.14e-005,1,0.0107763,0.077347,0.85,0.0393995
3.16e-005,1,0.0107685,0.079115,0.9,0.0398517
3.18e-005,1,0.0107606,0.0808824,0.95,0.0403012
3.2e-005,1,0.0107526,0.0826491,1,0.040748
3.22e-005,1,0.0107445,0.0844153,0.05,0.0413001
3.24e-005,1,0.0131362,0.0480849,0.1,0.0419625
3.26e-005,1,0.0140846,0.0347514,0.15,0.0426014
3.28e-005,1,0.0140761,0.0366153,0.2,0.0432374
3.3e-005,1,0.0140675,0.0384783,0.25,0.0438698
3.32e-005,1,0.0140588,0.0403407,0.3,0.0444984
3.34e-005,1,0.01405,0.0422022,0.35,0.0451233
3.36e-005,1,0.014041,0.0440631,0.4,0.0457446
3.38e-005,1,0.0140319,0.0459231,0.45,0.0463621
3.4e-005,1,0.0140227,0.0477825,0.5,0.046976
3.42e-005,1,0.0140134,0.049641,0.55,0.0475862
3.44e-005,1,0.0140039,0.0514988,0.6,0.0481928
3.46e-005,1,0.0139943,0.0533559,0.65,0.0487957
3.48e-005,1,0.0139846,0.0552122,0.7,0.049395
3.5e-005,1,0.0139748,0.0570678,0.75,0.0499907
3.52e-005,1,0.0139649,0.0589226,0.8,0.0505828
3.54e-005,1,0.0139548,0.0607766,0.85,0.0511713
3.56e-005,1,0.0139447,0.0626299,0.9,0.0517562
3.58e-005,1,0.0139344,0.0644824,0.95,0.0523375
3.6e-005,1,0.013924,0.0663342,1,0.0529153
3.62e-005,1,0.0139134,0.0681852,0.05,0.0535973
3.64e-005,1,0.0163027,0.0319394,0.1,0.0543579
3.66e-005,1,0.0167979,0.0258393,0.15,0.0550982
3.68e-005,1,0.016787,0.0277741,0.2,0.0558351
3.7e-005,1,0.0167759,0.029708,0.25,0.0565676
3.72e-005,1,0.0167646,0.0316409,0.3,0.0572958
3.74e-005,1,0.0167532,0.033573,0.35,0.0580196
3.76e-005,1,0.0167417,0.0355042,0.4,0.058739
3.78e-005,1,0.01673,0.0374344,0.45,0.0594541
3.8e-005,1,0.0167182,0.0393638,0.5,0.0601649
3.82e-005,1,0.0167063,0.0412922,0.55,0.0608714
3.84e-005,1,0.0166941,0.0432197,0.6,0.0615736
3.86e-005,1,0.0166819,0.0451463,0.65,0.0622715
3.88e-005,1,0.0166695,0.0470721,0.7,0.0629652
3.9e-005,1,0.016657,0.0489969,0.75,0.0636545
3.92e-005,1,0.0166443,0.0509208,0.8,0.0643397
3.94e-005,1,0.0166315,0.0528437,0.85,0.0650206
