Time,gate,Duty_moduladora,Vref_hs,Vout,V_port,D_pedro,Vref_pedro,portadora_pedro,V6,Vref_hst,V8
5.9e-005,0,0.959626,10,0.547769,0.9,0.257053,5,0.9,0.461197,5,0.9
6e-005,0,0.966626,10,0.564103,1,0.259504,5,1,0.464025,5,1
6.1e-005,1,0.973684,10,0.582401,0.1,0.261955,5,0.1,0.466895,5,0.1
6.2e-005,1,0.980647,10,0.603638,0.2,0.264359,5,0.2,0.469651,5,0.2
6.3e-005,0,0.987454,10,0.627113,0.3,0.266697,5,0.3,0.472236,5,0.3
6.4e-005,0,0.994146,10,0.650108,0.4,0.26898,5,0.4,0.474688,5,0.4
6.5e-005,0,1.00088,10,0.672526,0.5,0.271258,5,0.5,0.47717,5,0.5
6.6e-005,0,1.00767,10,0.694184,0.6,0.273532,5,0.6,0.479687,5,0.6
6.7e-005,0,1.01452,10,0.715095,0.7,0.275806,5,0.7,0.482249,5,0.7
6.8e-005,0,1.02143,10,0.73527,0.8,0.278081,5,0.8,0.484857,5,0.8
6.9e-005,0,1.0284,10,0.754722,0.9,0.280357,5,0.9,0.48751,5,0.9
7e-005,0,1.03543,10,0.773463,1,0.282634,5,1,0.490206,5,1
7.1e-005,1,1.04252,10,0.794015,0.1,0.284912,5,0.1,0.492945,5,0.1
7.2e-005,1,1.04951,10,0.817387,0.2,0.287144,5,0.2,0.495575,5,0.2
7.3e-005,0,1.05635,10,0.843071,0.3,0.289312,5,0.3,0.498035,5,0.3
7.4e-005,0,1.06306,10,0.868793,0.4,0.291421,5,0.4,0.500354,5,0.4
7.5e-005,0,1.06977,10,0.89384,0.5,0.293515,5,0.5,0.502666,5,0.5
7.6e-005,0,1.07654,10,0.917994,0.6,0.295604,5,0.6,0.505015,5,0.6
7.7e-005,0,1.08336,10,0.941272,0.7,0.297695,5,0.7,0.507412,5,0.7
7.8e-005,0,1.09025,10,0.963687,0.8,0.299788,5,0.8,0.509857,5,0.8
7.9e-005,0,1.0972,10,0.985255,0.9,0.301882,5,0.9,0.51235,5,0.9
8e-005,0,1.10421,10,1.00599,1,0.303978,5,1,0.514889,5,1
8.1e-005,1,1.11127,10,1.02839,0.1,0.306076,5,0.1,0.517473,5,0.1
8.2e-005,1,1.11825,10,1.05349,0.2,0.30813,5,0.2,0.519954,5,0.2
8.3e-005,1,1.12507,10,1.08057,0.3,0.31012,5,0.3,0.522267,5,0.3
8.4e-005,0,1.13177,10,1.10867,0.4,0.312058,5,0.4,0.524454,5,0.4
8.5e-005,0,1.13841,10,1.13563,0.5,0.31396,5,0.5,0.526572,5,0.5
8.6e-005,0,1.14513,10,1.16183,0.6,0.315865,5,0.6,0.528749,5,0.6
8.7e-005,0,1.1519,10,1.18703,0.7,0.317769,5,0.7,0.530962,5,0.7
8.8e-005,0,1.15872,10,1.21125,0.8,0.319674,5,0.8,0.533227,5,0.8
8.9e-005,0,1.16561,10,1.2345,0.9,0.321583,5,0.9,0.535543,5,0.9
9e-005,0,1.17256,10,1.2568,1,0.323494,5,1,0.537907,5,1
9.1e-005,1,1.17956,10,1.28062,0.1,0.325409,5,0.1,0.540321,5,0.1
9.2e-005,1,1.18648,10,1.30704,0.2,0.327281,5,0.2,0.542635,5,0.2
9.3e-005,1,1.19324,10,1.33535,0.3,0.329091,5,0.3,0.544784,5,0.3
9.4e-005,0,1.19989,10,1.36528,0.4,0.330848,5,0.4,0.546809,5,0.4
9.5e-005,0,1.20644,10,1.3939,0.5,0.332559,5,0.5,0.548725,5,0.5
9.6e-005,0,1.21306,10,1.42168,0.6,0.334274,5,0.6,0.550706,5,0.6
