Time,D_pedro,portadora_pedro,Vref,Vc
1.35e-005,0.213084,0.375,5,0.0716342
1.36e-005,0.213061,0.4,5,0.0726139
1.37e-005,0.213037,0.425,5,0.0735908
1.38e-005,0.213014,0.45,5,0.074565
1.39e-005,0.212991,0.475,5,0.0755366
1.4e-005,0.212968,0.5,5,0.0765055
1.41e-005,0.212945,0.525,5,0.0774717
1.42e-005,0.212922,0.55,5,0.0784353
1.43e-005,0.212898,0.575,5,0.0793961
1.44e-005,0.212875,0.6,5,0.0803543
1.45e-005,0.212852,0.625,5,0.0813099
1.46e-005,0.212829,0.65,5,0.0822628
1.47e-005,0.212805,0.675,5,0.083213
1.48e-005,0.212782,0.7,5,0.0841606
1.49e-005,0.212759,0.725,5,0.0851056
1.5e-005,0.212735,0.75,5,0.0860479
1.51e-005,0.212712,0.775,5,0.0869876
1.52e-005,0.212688,0.8,5,0.0879246
1.53e-005,0.212665,0.825,5,0.088859
1.54e-005,0.212641,0.85,5,0.0897908
1.55e-005,0.212618,0.875,5,0.09072
1.56e-005,0.212594,0.9,5,0.0916465
1.57e-005,0.21257,0.925,5,0.0925704
1.58e-005,0.212547,0.95,5,0.0934918
1.59e-005,0.212523,0.975,5,0.0944105
1.6e-005,0.2125,1,5,0.0953266
1.61e-005,0.212476,0.025,5,0.0962667
1.62e-005,0.213377,0.05,5,0.0972404
1.63e-005,0.214277,0.075,5,0.0982393
1.64e-005,0.215177,0.1,5,0.0992717
1.65e-005,0.216076,0.125,5,0.100338
1.66e-005,0.216975,0.15,5,0.101437
1.67e-005,0.217873,0.175,5,0.102569
1.68e-005,0.21877,0.2,5,0.103735
1.69e-005,0.219666,0.225,5,0.104935
1.7e-005,0.220357,0.25,5,0.10614
1.71e-005,0.220328,0.275,5,0.107342
1.72e-005,0.220298,0.3,5,0.10854
1.73e-005,0.220268,0.325,5,0.109736
1.74e-005,0.220238,0.35,5,0.110928
1.75e-005,0.220208,0.375,5,0.112116
1.76e-005,0.220179,0.4,5,0.113302
1.77e-005,0.220149,0.425,5,0.114483
1.78e-005,0.220119,0.45,5,0.115662
1.79e-005,0.220089,0.475,5,0.116837
1.8e-005,0.220059,0.5,5,0.118009
1.81e-005,0.220029,0.525,5,0.119178
1.82e-005,0.219999,0.55,5,0.120343
1.83e-005,0.219969,0.575,5,0.121505
1.84e-005,0.219939,0.6,5,0.122664
1.85e-005,0.219909,0.625,5,0.12382
1.86e-005,0.219878,0.65,5,0.124972
1.87e-005,0.219848,0.675,5,0.126121
1.88e-005,0.219818,0.7,5,0.127266
1.89e-005,0.219788,0.725,5,0.128409
1.9e-005,0.219758,0.75,5,0.129548
1.91e-005,0.219727,0.775,5,0.130683
1.92e-005,0.219697,0.8,5,0.131816
1.93e-005,0.219667,0.825,5,0.132945
1.94e-005,0.219636,0.85,5,0.134071
1.95e-005,0.219606,0.875,5,0.135194
1.96e-005,0.219575,0.9,5,0.136314
1.97e-005,0.219545,0.925,5,0.13743
1.98e-005,0.219514,0.95,5,0.138543
1.99e-005,0.219484,0.975,5,0.139653
2e-005,0.219453,1,5,0.140759
2.01e-005,0.219423,0.025,5,0.141889
2.02e-005,0.220317,0.05,5,0.143052
2.03e-005,0.22121,0.075,5,0.14424
2.04e-005,0.222103,0.1,5,0.14546
2.05e-005,0.222995,0.125,5,0.146713
2.06e-005,0.223887,0.15,5,0.147999
2.07e-005,0.224778,0.175,5,0.149318
2.08e-005,0.225668,0.2,5,0.150669
2.09e-005,0.226558,0.225,5,0.152053
2.1e-005,0.227446,0.25,5,0.153453
2.11e-005,0.227469,0.275,5,0.154848
2.12e-005,0.227433,0.3,5,0.15624
2.13e-005,0.227396,0.325,5,0.157628
2.14e-005,0.227359,0.35,5,0.159012
2.15e-005,0.227322,0.375,5,0.160392
2.16e-005,0.227285,0.4,5,0.161769
2.17e-005,0.227248,0.425,5,0.163141
2.18e-005,0.227211,0.45,5,0.164509
2.19e-005,0.227174,0.475,5,0.165874
2.2e-005,0.227137,0.5,5,0.167234
2.21e-005,0.227099,0.525,5,0.168591
2.22e-005,0.227062,0.55,5,0.169943
2.23e-005,0.227025,0.575,5,0.171292
2.24e-005,0.226988,0.6,5,0.172637
2.25e-005,0.22695,0.625,5,0.173977
2.26e-005,0.226913,0.65,5,0.175314
2.27e-005,0.226876,0.675,5,0.176647
2.28e-005,0.226838,0.7,5,0.177976
2.29e-005,0.226801,0.725,5,0.179302
2.3e-005,0.226763,0.75,5,0.180623
2.31e-005,0.226726,0.775,5,0.18194
2.32e-005,0.226688,0.8,5,0.183254
2.33e-005,0.226651,0.825,5,0.184564
2.34e-005,0.226613,0.85,5,0.18587
2.35e-005,0.226576,0.875,5,0.187172
2.36e-005,0.226538,0.9,5,0.18847
2.37e-005,0.2265,0.925,5,0.189764
2.38e-005,0.226463,0.95,5,0.191054
2.39e-005,0.226425,0.975,5,0.192341
2.4e-005,0.226387,1,5,0.193624
2.41e-005,0.226349,0.025,5,0.194929
2.42e-005,0.227236,0.05,5,0.196267
2.43e-005,0.228122,0.075,5,0.197629
2.44e-005,0.229008,0.1,5,0.199023
2.45e-005,0.229893,0.125,5,0.200449
2.46e-005,0.230777,0.15,5,0.201908
2.47e-005,0.231661,0.175,5,0.203398
2.48e-005,0.232544,0.2,5,0.204921
2.49e-005,0.233426,0.225,5,0.206475
2.5e-005,0.234308,0.25,5,0.208056
2.51e-005,0.234587,0.275,5,0.209631
2.52e-005,0.234543,0.3,5,0.211203
2.53e-005,0.234498,0.325,5,0.212769
2.54e-005,0.234454,0.35,5,0.214332
2.55e-005,0.23441,0.375,5,0.215889
2.56e-005,0.234365,0.4,5,0.217442
2.57e-005,0.234321,0.425,5,0.218991
2.58e-005,0.234276,0.45,5,0.220535
2.59e-005,0.234232,0.475,5,0.222074
2.6e-005,0.234187,0.5,5,0.223609
2.61e-005,0.234142,0.525,5,0.225139
2.62e-005,0.234098,0.55,5,0.226665
2.63e-005,0.234053,0.575,5,0.228186
2.64e-005,0.234008,0.6,5,0.229703
2.65e-005,0.233964,0.625,5,0.231215
2.66e-005,0.233919,0.65,5,0.232722
2.67e-005,0.233874,0.675,5,0.234225
2.68e-005,0.233829,0.7,5,0.235724
2.69e-005,0.233784,0.725,5,0.237218
2.7e-005,0.233739,0.75,5,0.238708
2.71e-005,0.233694,0.775,5,0.240193
2.72e-005,0.233649,0.8,5,0.241674
2.73e-005,0.233604,0.825,5,0.24315
2.74e-005,0.233559,0.85,5,0.244622
2.75e-005,0.233514,0.875,5,0.246089
2.76e-005,0.233469,0.9,5,0.247552
2.77e-005,0.233424,0.925,5,0.24901
2.78e-005,0.233379,0.95,5,0.250464
2.79e-005,0.233333,0.975,5,0.251914
2.8e-005,0.233288,1,5,0.253359
2.81e-005,0.233243,0.025,5,0.254826
2.82e-005,0.234122,0.05,5,0.256324
2.83e-005,0.235001,0.075,5,0.257847
2.84e-005,0.235879,0.1,5,0.259401
2.85e-005,0.236757,0.125,5,0.260987
2.86e-005,0.237633,0.15,5,0.262604
2.87e-005,0.23851,0.175,5,0.264253
2.88e-005,0.239385,0.2,5,0.265933
2.89e-005,0.24026,0.225,5,0.267644
2.9e-005,0.241134,0.25,5,0.269388
2.91e-005,0.241667,0.275,5,0.271129
2.92e-005,0.241615,0.3,5,0.272866
2.93e-005,0.241563,0.325,5,0.274598
2.94e-005,0.241511,0.35,5,0.276324
2.95e-005,0.241459,0.375,5,0.278046
2.96e-005,0.241407,0.4,5,0.279762
2.97e-005,0.241355,0.425,5,0.281473
2.98e-005,0.241302,0.45,5,0.283179
2.99e-005,0.24125,0.475,5,0.284879
3e-005,0.241198,0.5,5,0.286575
3.01e-005,0.241146,0.525,5,0.288265
3.02e-005,0.241093,0.55,5,0.289951
3.03e-005,0.241041,0.575,5,0.291631
3.04e-005,0.240988,0.6,5,0.293306
3.05e-005,0.240936,0.625,5,0.294976
3.06e-005,0.240883,0.65,5,0.296641
3.07e-005,0.240831,0.675,5,0.2983
3.08e-005,0.240778,0.7,5,0.299955
3.09e-005,0.240725,0.725,5,0.301604
3.1e-005,0.240673,0.75,5,0.303249
3.11e-005,0.24062,0.775,5,0.304888
3.12e-005,0.240567,0.8,5,0.306523
3.13e-005,0.240515,0.825,5,0.308152
3.14e-005,0.240462,0.85,5,0.309776
3.15e-005,0.240409,0.875,5,0.311395
3.16e-005,0.240356,0.9,5,0.31301
3.17e-005,0.240303,0.925,5,0.314619
3.18e-005,0.24025,0.95,5,0.316223
3.19e-005,0.240197,0.975,5,0.317822
3.2e-005,0.240144,1,5,0.319416
3.21e-005,0.240091,0.025,5,0.321031
3.22e-005,0.240963,0.05,5,0.322678
3.23e-005,0.241834,0.075,5,0.324348
3.24e-005,0.242704,0.1,5,0.326049
3.25e-005,0.243574,0.125,5,0.327781
3.26e-005,0.244443,0.15,5,0.329543
3.27e-005,0.245311,0.175,5,0.331337
3.28e-005,0.246179,0.2,5,0.333162
3.29e-005,0.247046,0.225,5,0.335017
3.3e-005,0.247912,0.25,5,0.336905
3.31e-005,0.248698,0.275,5,0.338799
3.32e-005,0.248638,0.3,5,0.340688
3.33e-005,0.248578,0.325,5,0.342572
3.34e-005,0.248518,0.35,5,0.34445
3.35e-005,0.248458,0.375,5,0.346322
3.36e-005,0.248398,0.4,5,0.348188
3.37e-005,0.248338,0.425,5,0.350048
3.38e-005,0.248278,0.45,5,0.351903
3.39e-005,0.248217,0.475,5,0.353752
3.4e-005,0.248157,0.5,5,0.355595
3.41e-005,0.248097,0.525,5,0.357433
3.42e-005,0.248037,0.55,5,0.359264
3.43e-005,0.247976,0.575,5,0.36109
3.44e-005,0.247916,0.6,5,0.362911
3.45e-005,0.247855,0.625,5,0.364726
3.46e-005,0.247795,0.65,5,0.366535
3.47e-005,0.247734,0.675,5,0.368338
3.48e-005,0.247674,0.7,5,0.370136
3.49e-005,0.247613,0.725,5,0.371928
3.5e-005,0.247552,0.75,5,0.373714
3.51e-005,0.247492,0.775,5,0.375495
3.52e-005,0.247431,0.8,5,0.37727
3.53e-005,0.24737,0.825,5,0.379039
3.54e-005,0.247309,0.85,5,0.380803
3.55e-005,0.247249,0.875,5,0.382562
3.56e-005,0.247188,0.9,5,0.384314
3.57e-005,0.247127,0.925,5,0.386061
3.58e-005,0.247066,0.95,5,0.387803
3.59e-005,0.247005,0.975,5,0.389539
3.6e-005,0.246944,1,5,0.391269
3.61e-005,0.246883,0.025,5,0.39302
3.62e-005,0.247747,0.05,5,0.394801
3.63e-005,0.24861,0.075,5,0.396606
3.64e-005,0.249472,0.1,5,0.398441
3.65e-005,0.250334,0.125,5,0.400306
3.66e-005,0.251195,0.15,5,0.402202
3.67e-005,0.252056,0.175,5,0.404128
3.68e-005,0.252915,0.2,5,0.406085
3.69e-005,0.253774,0.225,5,0.408071
3.7e-005,0.254633,0.25,5,0.410088
3.71e-005,0.25549,0.275,5,0.412123
3.72e-005,0.2556,0.3,5,0.414151
3.73e-005,0.255532,0.325,5,0.416173
3.74e-005,0.255463,0.35,5,0.41819
3.75e-005,0.255395,0.375,5,0.4202
3.76e-005,0.255327,0.4,5,0.422203
3.77e-005,0.255259,0.425,5,0.4242
3.78e-005,0.25519,0.45,5,0.426191
3.79e-005,0.255122,0.475,5,0.428176
3.8e-005,0.255054,0.5,5,0.430154
3.81e-005,0.254985,0.525,5,0.432126
3.82e-005,0.254917,0.55,5,0.434092
3.83e-005,0.254848,0.575,5,0.436052
3.84e-005,0.254779,0.6,5,0.438005
3.85e-005,0.254711,0.625,5,0.439952
3.86e-005,0.254642,0.65,5,0.441893
3.87e-005,0.254574,0.675,5,0.443827
3.88e-005,0.254505,0.7,5,0.445755
3.89e-005,0.254436,0.725,5,0.447677
3.9e-005,0.254367,0.75,5,0.449593
3.91e-005,0.254298,0.775,5,0.451503
3.92e-005,0.25423,0.8,5,0.453406
3.93e-005,0.254161,0.825,5,0.455304
3.94e-005,0.254092,0.85,5,0.457195
3.95e-005,0.254023,0.875,5,0.45908
3.96e-005,0.253954,0.9,5,0.460959
3.97e-005,0.253885,0.925,5,0.462831
3.98e-005,0.253815,0.95,5,0.464698
3.99e-005,0.253746,0.975,5,0.466559
4e-005,0.253677,3.21873e-014,5,0.468413
4.01e-005,0.253608,0.025,5,0.470287
4.02e-005,0.254464,0.05,5,0.472191
4.03e-005,0.255318,0.075,5,0.474118
4.04e-005,0.256173,0.1,5,0.476075
4.05e-005,0.257026,0.125,5,0.478061
4.06e-005,0.257879,0.15,5,0.480078
4.07e-005,0.258732,0.175,5,0.482124
4.08e-005,0.259583,0.2,5,0.4842
4.09e-005,0.260434,0.225,5,0.486306
4.1e-005,0.261284,0.25,5,0.488441
4.11e-005,0.262134,0.275,5,0.490603
